"","Year","Month","Day","TotalLoadValue"
"1",2019,10,12,610121.328125
"2",2019,10,13,596578.3125
"3",2019,10,14,728302.087890625
"4",2019,10,15,737247.05859375
"5",2019,10,16,738509.990234375
"6",2019,10,17,738008.125
"7",2019,10,18,735822.68359375
"8",2019,10,19,617068.166015625
"9",2019,10,20,594479.1015625
"10",2019,10,21,718873.044921875
"11",2019,10,22,722584.033203125
"12",2019,10,23,723935.689453125
"13",2019,10,24,721509.857421875
"14",2019,10,25,719872.142578125
"15",2019,10,26,596872.56640625
"16",2019,10,27,584980.033203125
"17",2019,10,28,707453.515625
"18",2019,10,29,717839.037109375
"19",2019,10,30,718965.732421875
"20",2019,10,31,719488.4765625
"21",2019,11,1,745452.705078125
"22",2019,11,2,633878.416015625
"23",2019,11,3,619477.779296875
"24",2019,11,4,741639.033203125
"25",2019,11,5,752146.53125
"26",2019,11,6,755057.318359375
"27",2019,11,7,757063.3359375
"28",2019,11,8,752968.556640625
"29",2019,11,9,631195.890625
"30",2019,11,10,623821.517578125
"31",2019,11,11,752808.51171875
"32",2019,11,12,759423.755859375
"33",2019,11,13,761484.654296875
"34",2019,11,14,762080.7734375
"35",2019,11,15,765176.083984375
"36",2019,11,16,645185.138671875
"37",2019,11,17,630332.0234375
"38",2019,11,18,756303.75
"39",2019,11,19,760200.740234375
"40",2019,11,20,759081.630859375
"41",2019,11,21,756983.40234375
"42",2019,11,22,752665.296875
"43",2019,11,23,629877.486328125
"44",2019,11,24,616857.1953125
"45",2019,11,25,740674.162109375
"46",2019,11,26,743550.83203125
"47",2019,11,27,743346.333984375
"48",2019,11,28,742518.75390625
"49",2019,11,29,742991.37890625
"50",2019,11,30,627986.70703125
"51",2019,12,1,625604.466796875
"52",2019,12,2,748156.3046875
"53",2019,12,3,756518.591796875
"54",2019,12,4,759334.099609375
"55",2019,12,5,761380.525390625
"56",2019,12,6,763451.00390625
"57",2019,12,7,647747.9921875
"58",2019,12,8,633225.990234375
"59",2019,12,9,761047.21875
"60",2019,12,10,767610.919921875
"61",2019,12,11,770116.3828125
"62",2019,12,12,771528.583984375
"63",2019,12,13,772604.369140625
"64",2019,12,14,651293.634765625
"65",2019,12,15,643254.5390625
"66",2019,12,16,768646.072265625
"67",2019,12,17,772966.673828125
"68",2019,12,18,772375.052734375
"69",2019,12,19,770666.71875
"70",2019,12,20,768596.546875
"71",2019,12,21,647823.55859375
"72",2019,12,22,630681.16796875
"73",2019,12,23,756478.8359375
"74",2019,12,24,757025.357421875
"75",2019,12,25,755940.3984375
"76",2019,12,26,754180.140625
"77",2019,12,27,752719.37890625
"78",2019,12,28,635991.935546875
"79",2019,12,29,624724.892578125
"80",2019,12,30,745595.69140625
"81",2019,12,31,751004.728515625
"82",2020,1,1,741059.193359375
"83",2020,1,2,742184.01953125
"84",2020,1,3,743707.400390625
"85",2020,1,4,627513.625
"86",2020,1,5,614823.517578125
"87",2020,1,6,742230.783203125
"88",2020,1,7,750517.62109375
"89",2020,1,8,756865.953125
"90",2020,1,9,758697.103515625
"91",2020,1,10,760490.40234375
"92",2020,1,11,642473.494140625
"93",2020,1,12,630433.365234375
"94",2020,1,13,757414.80859375
"95",2020,1,14,763889.67578125
"96",2020,1,15,763090.529296875
"97",2020,1,16,763249.025390625
"98",2020,1,17,762388.533203125
"99",2020,1,18,639121.64453125
"100",2020,1,19,625573.060546875
"101",2020,1,20,752219.5078125
"102",2020,1,21,754142.802734375
"103",2020,1,22,754337.69140625
"104",2020,1,23,751907.765625
"105",2020,1,24,749711.90234375
"106",2020,1,25,630854.20703125
"107",2020,1,26,615945.951171875
"108",2020,1,27,737196.333984375
"109",2020,1,28,741958.322265625
"110",2020,1,29,741903.447265625
"111",2020,1,30,742089.677734375
"112",2020,1,31,742544.892578125
"113",2020,2,1,591549.447265625
"114",2020,2,2,571227.146484375
"115",2020,2,3,703834.697265625
"116",2020,2,4,712870.59765625
"117",2020,2,5,716843.31640625
"118",2020,2,6,719146.173828125
"119",2020,2,7,721304.009765625
"120",2020,2,8,610881.76171875
"121",2020,2,9,595092.291015625
"122",2020,2,10,722449.3828125
"123",2020,2,11,733539.64453125
"124",2020,2,12,736377.73828125
"125",2020,2,13,737455.869140625
"126",2020,2,14,738090.3671875
"127",2020,2,15,609197.94921875
"128",2020,2,16,595899.541015625
"129",2020,2,17,725523.109375
"130",2020,2,18,731623.732421875
"131",2020,2,19,731745.345703125
"132",2020,2,20,730247.86328125
"133",2020,2,21,728405.19921875
"134",2020,2,22,610252.90625
"135",2020,2,23,591134.59765625
"136",2020,2,24,713202.875
"137",2020,2,25,721158.208984375
"138",2020,2,26,721630.779296875
"139",2020,2,27,720686.66015625
"140",2020,2,28,719893.392578125
"141",2020,2,29,598289.404296875
"142",2020,3,1,527641.849609375
"143",2020,3,2,664747.2265625
"144",2020,3,3,674667.5703125
"145",2020,3,4,677611.55078125
"146",2020,3,5,680105.119140625
"147",2020,3,6,682349.83203125
"148",2020,3,7,558878.73046875
"149",2020,3,8,549134.443359375
"150",2020,3,9,679756.720703125
"151",2020,3,10,694416.83984375
"152",2020,3,11,697962.53515625
"153",2020,3,12,699455.056640625
"154",2020,3,13,700389.412109375
"155",2020,3,14,579281.6015625
"156",2020,3,15,553776.5234375
"157",2020,3,16,685068.912109375
"158",2020,3,17,695911.33203125
"159",2020,3,18,697193.0078125
"160",2020,3,19,696336.4765625
"161",2020,3,20,695014.990234375
"162",2020,3,21,567904.892578125
"163",2020,3,22,552450.607421875
"164",2020,3,23,676048.990234375
"165",2020,3,24,688255.740234375
"166",2020,3,25,689351.744140625
"167",2020,3,26,688586.0234375
"168",2020,3,27,687763.337890625
"169",2020,3,28,568796.541015625
"170",2020,3,29,544773.423828125
"171",2020,3,30,670199.17578125
"172",2020,3,31,683117.21484375
"173",2020,4,1,654884.142578125
"174",2020,4,2,652236.87109375
"175",2020,4,3,652007.8671875
"176",2020,4,4,523121.044921875
"177",2020,4,5,497197.3203125
"178",2020,4,6,637808.4453125
"179",2020,4,7,652180.048828125
"180",2020,4,8,660109.80078125
"181",2020,4,9,662304.875
"182",2020,4,10,663607.33203125
"183",2020,4,11,543117.064453125
"184",2020,4,12,516460.51953125
"185",2020,4,13,647319.083984375
"186",2020,4,14,663176.849609375
"187",2020,4,15,664121.251953125
"188",2020,4,16,664202.880859375
"189",2020,4,17,663925.958984375
"190",2020,4,18,538770.708984375
"191",2020,4,19,511632.802734375
"192",2020,4,20,644236.78515625
"193",2020,4,21,657645.611328125
"194",2020,4,22,660337.78515625
"195",2020,4,23,660065.5859375
"196",2020,4,24,659320.24609375
"197",2020,4,25,540076.126953125
"198",2020,4,26,514787.65234375
"199",2020,4,27,638002.4609375
"200",2020,4,28,653380.455078125
"201",2020,4,29,655715.9375
"202",2020,4,30,656131.712890625
"203",2020,5,1,637971.15625
"204",2020,5,2,508957.66015625
"205",2020,5,3,474642.341796875
"206",2020,5,4,613356.287109375
"207",2020,5,5,631975.263671875
"208",2020,5,6,635838.0078125
"209",2020,5,7,636935.84375
"210",2020,5,8,639912.859375
"211",2020,5,9,521924.474609375
"212",2020,5,10,492883.5703125
"213",2020,5,11,619580.6875
"214",2020,5,12,637791.51171875
"215",2020,5,13,641440.576171875
"216",2020,5,14,642352.162109375
"217",2020,5,15,641149.3984375
"218",2020,5,16,517587.109375
"219",2020,5,17,488282.6484375
"220",2020,5,18,619453.779296875
"221",2020,5,19,636048.857421875
"222",2020,5,20,638722.39453125
"223",2020,5,21,638871.564453125
"224",2020,5,22,639227.25390625
"225",2020,5,23,520122.568359375
"226",2020,5,24,491965.732421875
"227",2020,5,25,615310.294921875
