"","run_dir","metric_val_loss","metric_loss","metric_mape","metric_val_mape","metric_log_cosh","metric_val_log_cosh","flag_dense_units1","flag_dense_units2","flag_dense_units3","flag_dense_units4","flag_batch_size","flag_learning_rate","flag_dropout1","flag_dropout2","flag_dropout3","flag_dropout4","flag_decay_steps","epochs","epochs_completed","metrics","model","loss_function","optimizer","learning_rate","script","start","end","completed","output","error_message","error_traceback","source_code","context","type"
"26","runs/2022-10-13T09-37-51Z",573.3195,753.126,2.6974,2.0018,NA,NA,64,64,32,32,16,0.01,NA,NA,NA,NA,NA,35,31,"runs/2022-10-13T09-37-51Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B829B215E0>",0.00999999977648258,"nn_exp.R",2022-10-13 09:37:52,2022-10-13 09:39:24,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T09-37-51Z/tfruns.d/source.tar.gz","local","training"
"22","runs/2022-10-13T09-44-01Z",595.1414,805.2947,2.9054,2.0907,NA,NA,128,128,32,32,16,0.01,NA,NA,NA,NA,NA,35,28,"runs/2022-10-13T09-44-01Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B7B091C310>",0.00999999977648258,"nn_exp.R",2022-10-13 09:44:02,2022-10-13 09:46:08,FALSE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] ",NA,NA,"runs/2022-10-13T09-44-01Z/tfruns.d/source.tar.gz","local","training"
"25","runs/2022-10-13T09-39-24Z",606.2936,777.8643,2.8,2.1152,NA,NA,128,64,32,32,16,0.01,NA,NA,NA,NA,NA,35,35,"runs/2022-10-13T09-39-24Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B810E47EE0>",0.00999999977648258,"nn_exp.R",2022-10-13 09:39:25,2022-10-13 09:41:18,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T09-39-24Z/tfruns.d/source.tar.gz","local","training"
"29","runs/2022-10-13T09-33-29Z",606.8895,738.5018,2.6485,2.1384,NA,NA,64,32,32,32,16,0.01,NA,NA,NA,NA,NA,35,35,"runs/2022-10-13T09-33-29Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B825480190>",0.00999999977648258,"nn_exp.R",2022-10-13 09:33:30,2022-10-13 09:35:03,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T09-33-29Z/tfruns.d/source.tar.gz","local","training"
"6","runs/2022-10-13T10-27-22Z",625.6758,786.8459,2.835,2.1571,NA,NA,64,128,16,16,32,0.01,NA,NA,NA,NA,NA,35,35,"runs/2022-10-13T10-27-22Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B814821A90>",0.00999999977648258,"nn_exp.R",2022-10-13 10:27:23,2022-10-13 10:28:17,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T10-27-22Z/tfruns.d/source.tar.gz","local","training"
"30","runs/2022-10-13T09-32-19Z",643.4521,823.7964,2.9679,2.2343,NA,NA,32,32,32,32,16,0.01,NA,NA,NA,NA,NA,35,26,"runs/2022-10-13T09-32-19Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B8203DF400>",0.00999999977648258,"nn_exp.R",2022-10-13 09:32:20,2022-10-13 09:33:29,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T09-32-19Z/tfruns.d/source.tar.gz","local","training"
"2","runs/2022-10-13T10-31-39Z",647.9362,810.9839,2.9151,2.2288,NA,NA,64,64,16,16,32,0.01,NA,NA,NA,NA,NA,35,35,"runs/2022-10-13T10-31-39Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B8298E3DC0>",0.00999999977648258,"nn_exp.R",2022-10-13 10:31:40,2022-10-13 10:32:40,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T10-31-39Z/tfruns.d/source.tar.gz","local","training"
"17","runs/2022-10-13T10-12-38Z",654.668,829.2277,2.9889,2.2842,NA,NA,128,64,16,16,32,0.01,NA,NA,NA,NA,NA,35,35,"runs/2022-10-13T10-12-38Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B81241B520>",0.00999999977648258,"nn_exp.R",2022-10-13 10:12:39,2022-10-13 10:15:09,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T10-12-38Z/tfruns.d/source.tar.gz","local","training"
"23","runs/2022-10-13T09-42-45Z",670.8395,828.6305,2.985,2.2956,NA,NA,64,128,32,32,16,0.01,NA,NA,NA,NA,NA,35,24,"runs/2022-10-13T09-42-45Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B820369580>",0.00999999977648258,"nn_exp.R",2022-10-13 09:42:46,2022-10-13 09:44:01,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T09-42-45Z/tfruns.d/source.tar.gz","local","training"
"12","runs/2022-10-13T10-21-21Z",671.4872,845.4623,3.0543,2.3209,NA,NA,128,64,16,16,32,0.01,NA,NA,NA,NA,NA,35,35,"runs/2022-10-13T10-21-21Z/tfruns.d/metrics.json","Model: <no summary available, model was not built>","mean_absolute_error","<keras.optimizers.optimizer_v2.adam.Adam object at 0x000001B8254232E0>",0.00999999977648258,"nn_exp.R",2022-10-13 10:21:22,2022-10-13 10:22:18,TRUE,"
> # Flags for hyperparameter tuning
> FLAGS <- flags(
+   flag_integer(""dense_units1"", 32),
+   flag_integer(""dense_units2"", 32),
+   flag_integer(""de ..."" ... [TRUNCATED] 

> # Model
> set.seed(2022)

> model <- keras_model_sequential() %>%
+   layer_dense(units = FLAGS$dense_units1, activation = ""relu"") %>%
+   #layer_dropout(rate = FLAGS$dropout1) .... [TRUNCATED] 

> # LR scheduler
> #lr_schedule <- learning_rate_schedule_cosine_decay(initial_learning_rate=FLAGS$learning_rate, decay_steps = FLAGS$decay_steps)
> 
 .... [TRUNCATED] 

> # Early stopping
> early_stopping <- callback_early_stopping(monitor=""loss"", min_delta = 10, patience=6, mode=""min"")

> # Fit 
> set.seed(2022)

> history <- model %>% 
+   fit(
+     x = as.matrix(X_train), 
+     y = as.matrix(y_train), 
+     validation_split = 0.2, 
+     batch_size = FLAGS .... [TRUNCATED] 

> plot(history)",NA,NA,"runs/2022-10-13T10-21-21Z/tfruns.d/source.tar.gz","local","training"
