"","Date","Country","TotalLoadValue"
"1",2014-12-01,"Austria",25801.2
"2",2014-12-02,"Austria",728087.6
"3",2014-12-03,"Austria",730588.8
"4",2014-12-04,"Austria",751961.6
"5",2014-12-05,"Austria",721206.8
"6",2014-12-06,"Austria",648147.2
"7",2014-12-07,"Austria",663532.8
"8",2014-12-08,"Austria",657282.4
"9",2014-12-09,"Austria",717198.8
"10",2014-12-10,"Austria",772308.4
"11",2014-12-11,"Austria",781305.6
"12",2014-12-12,"Austria",751696.4
"13",2014-12-13,"Austria",582762.8
"14",2014-12-14,"Austria",678084
"15",2014-12-15,"Austria",746960.8
"16",2014-12-16,"Austria",701528.4
"17",2014-12-17,"Austria",669700.8
"18",2014-12-18,"Austria",532439.6
"19",2014-12-19,"Austria",599484
"20",2014-12-20,"Austria",592859.6
"21",2014-12-21,"Austria",629744.8
"22",2014-12-22,"Austria",665483.6
"23",2014-12-23,"Austria",611908
"24",2014-12-24,"Austria",558022.4
"25",2014-12-25,"Austria",514602.8
"26",2014-12-26,"Austria",545613.6
"27",2014-12-27,"Austria",576771.6
"28",2014-12-28,"Austria",574872
"29",2014-12-29,"Austria",736130.4
"30",2014-12-30,"Austria",631026
"31",2014-12-31,"Austria",613922
"32",2015-01-01,"Austria",604194.8
"33",2015-01-02,"Austria",555698
"34",2015-01-03,"Austria",522767.2
"35",2015-01-04,"Austria",500493.6
"36",2015-01-05,"Austria",649524.8
"37",2015-01-06,"Austria",571120.4
"38",2015-01-07,"Austria",698538
"39",2015-01-08,"Austria",718902.8
"40",2015-01-09,"Austria",610904
"41",2015-01-10,"Austria",551725.2
"42",2015-01-11,"Austria",545153.2
"43",2015-01-12,"Austria",688065.6
"44",2015-01-13,"Austria",730362.4
"45",2015-01-14,"Austria",745094.8
"46",2015-01-15,"Austria",793218.4
"47",2015-01-16,"Austria",765771.2
"48",2015-01-17,"Austria",678040.4
"49",2015-01-18,"Austria",666871.6
"50",2015-01-19,"Austria",670495.6
"51",2015-01-20,"Austria",729965.6
"52",2015-01-21,"Austria",641122.8
"53",2015-01-22,"Austria",662637.2
"54",2015-01-23,"Austria",678542.8
"55",2015-01-24,"Austria",619929.6
"56",2015-01-25,"Austria",604374.4
"57",2015-01-26,"Austria",718594.8
"58",2015-01-27,"Austria",703738.4
"59",2015-01-28,"Austria",731342.4
"60",2015-01-29,"Austria",719006.8
"61",2015-01-30,"Austria",640098.8
"62",2015-01-31,"Austria",599974.4
"63",2015-02-01,"Austria",668903.2
"64",2015-02-02,"Austria",815635.2
"65",2015-02-03,"Austria",804964.8
"66",2015-02-04,"Austria",796736.4
"67",2015-02-05,"Austria",742732
"68",2015-02-06,"Austria",755603.2
"69",2015-02-07,"Austria",715344.4
"70",2015-02-08,"Austria",667031.2
"71",2015-02-09,"Austria",813430.8
"72",2015-02-10,"Austria",801416.8
"73",2015-02-11,"Austria",830182
"74",2015-02-12,"Austria",795554
"75",2015-02-13,"Austria",764264
"76",2015-02-14,"Austria",682394
"77",2015-02-15,"Austria",644942.4
"78",2015-02-16,"Austria",760614.4
"79",2015-02-17,"Austria",764764
"80",2015-02-18,"Austria",797324.8
"81",2015-02-19,"Austria",779604.8
"82",2015-02-20,"Austria",775740.4
"83",2015-02-21,"Austria",633356
"84",2015-02-22,"Austria",645459.2
"85",2015-02-23,"Austria",774250.4
"86",2015-02-24,"Austria",803801.2
"87",2015-02-25,"Austria",789086.4
"88",2015-02-26,"Austria",800598.4
"89",2015-02-27,"Austria",784728.8
"90",2015-02-28,"Austria",705737.6
"91",2015-03-01,"Austria",616786
"92",2015-03-02,"Austria",741174
"93",2015-03-03,"Austria",742522
"94",2015-03-04,"Austria",795827.2
"95",2015-03-05,"Austria",809533.6
"96",2015-03-06,"Austria",780936.4
"97",2015-03-07,"Austria",690322
"98",2015-03-08,"Austria",610155.6
"99",2015-03-09,"Austria",765766.8
"100",2015-03-10,"Austria",761281.2
"101",2015-03-11,"Austria",769447.6
"102",2015-03-12,"Austria",758966.8
"103",2015-03-13,"Austria",761583.2
"104",2015-03-14,"Austria",663996.4
"105",2015-03-15,"Austria",608761.6
"106",2015-03-16,"Austria",750829.2
"107",2015-03-17,"Austria",730695.2
"108",2015-03-18,"Austria",749994
"109",2015-03-19,"Austria",742667.2
"110",2015-03-20,"Austria",727571.6
"111",2015-03-21,"Austria",668610.8
"112",2015-03-22,"Austria",575709.2
"113",2015-03-23,"Austria",711186.8
"114",2015-03-24,"Austria",724047.2
"115",2015-03-25,"Austria",713092.8
"116",2015-03-26,"Austria",699776.4
"117",2015-03-27,"Austria",662720
"118",2015-03-28,"Austria",613300.8
"119",2015-03-29,"Austria",557096.4
"120",2015-03-30,"Austria",665719.6
"121",2015-03-31,"Austria",677138.4
"122",2015-04-01,"Austria",741531.6
"123",2015-04-02,"Austria",740330
"124",2015-04-03,"Austria",656582.8
"125",2015-04-04,"Austria",635999.6
"126",2015-04-05,"Austria",590816.4
"127",2015-04-06,"Austria",588536.4
"128",2015-04-07,"Austria",735973.2
"129",2015-04-08,"Austria",733804.8
"130",2015-04-09,"Austria",718552
"131",2015-04-10,"Austria",663647.2
"132",2015-04-11,"Austria",573433.6
"133",2015-04-12,"Austria",510944.8
"134",2015-04-13,"Austria",632701.2
"135",2015-04-14,"Austria",666970.4
"136",2015-04-15,"Austria",651055.6
"137",2015-04-16,"Austria",641504.8
"138",2015-04-17,"Austria",686934.4
"139",2015-04-18,"Austria",564433.6
"140",2015-04-19,"Austria",553622
"141",2015-04-20,"Austria",668008.4
"142",2015-04-21,"Austria",645790.8
"143",2015-04-22,"Austria",675691.6
"144",2015-04-23,"Austria",676416.8
"145",2015-04-24,"Austria",664848.4
"146",2015-04-25,"Austria",567349.2
"147",2015-04-26,"Austria",504972.4
"148",2015-04-27,"Austria",620732.4
"149",2015-04-28,"Austria",687525.6
"150",2015-04-29,"Austria",678186
"151",2015-04-30,"Austria",703321.6
"152",2015-05-01,"Austria",562276
"153",2015-05-02,"Austria",553083.2
"154",2015-05-03,"Austria",512016.4
"155",2015-05-04,"Austria",654740
"156",2015-05-05,"Austria",657904.8
"157",2015-05-06,"Austria",660702
"158",2015-05-07,"Austria",671405.6
"159",2015-05-08,"Austria",641720.4
"160",2015-05-09,"Austria",496730.4
"161",2015-05-10,"Austria",444470.4
"162",2015-05-11,"Austria",583540.4
"163",2015-05-12,"Austria",579504.4
"164",2015-05-13,"Austria",572103.2
"165",2015-05-14,"Austria",441024
"166",2015-05-15,"Austria",540337.6
"167",2015-05-16,"Austria",476058.8
"168",2015-05-17,"Austria",448178.8
"169",2015-05-18,"Austria",614283.2
"170",2015-05-19,"Austria",651968.4
"171",2015-05-20,"Austria",658842.4
"172",2015-05-21,"Austria",655796.8
"173",2015-05-22,"Austria",661221.2
"174",2015-05-23,"Austria",588849.6
"175",2015-05-24,"Austria",496920.4
"176",2015-05-25,"Austria",464810
"177",2015-05-26,"Austria",613869.2
"178",2015-05-27,"Austria",637918.8
"179",2015-05-28,"Austria",663310.4
"180",2015-05-29,"Austria",619843.2
"181",2015-05-30,"Austria",528520.4
"182",2015-05-31,"Austria",472619.2
"183",2015-06-01,"Austria",652805.6
"184",2015-06-02,"Austria",663262.8
"185",2015-06-03,"Austria",650803.6
"186",2015-06-04,"Austria",494847.6
"187",2015-06-05,"Austria",583568.4
"188",2015-06-06,"Austria",524673.6
"189",2015-06-07,"Austria",497353.6
"190",2015-06-08,"Austria",649561.6
